country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",14-12-2025 23:00,28.5710274,77.0719006,CO,61,180,133
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",14-12-2025 23:00,28.6811736,77.3025234,PM2.5,405,500,476
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",14-12-2025 23:00,28.6811736,77.3025234,PM10,354,448,404
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",14-12-2025 23:00,28.6811736,77.3025234,NO2,79,193,135
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",14-12-2025 23:00,28.6811736,77.3025234,NH3,11,16,13
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",14-12-2025 23:00,28.6811736,77.3025234,SO2,7,24,17
India,Delhi,Delhi,"IIT Delhi, Delhi - IITM",14-12-2025 23:00,28.54246,77.191651,OZONE,8,58,27
India,Delhi,Delhi,"ITO, Delhi - CPCB",14-12-2025 23:00,28.628624,77.24106,PM2.5,451,500,482
India,Delhi,Delhi,"ITO, Delhi - CPCB",14-12-2025 23:00,28.628624,77.24106,PM10,405,500,449
India,Delhi,Delhi,"ITO, Delhi - CPCB",14-12-2025 23:00,28.628624,77.24106,OZONE,13,16,14
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",14-12-2025 23:00,28.73282,77.170633,PM2.5,490,500,499
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",14-12-2025 23:00,28.73282,77.170633,NO2,102,157,133
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",14-12-2025 23:00,28.73282,77.170633,CO,103,192,192
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",14-12-2025 23:00,28.58028,77.233829,PM10,422,500,459
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",14-12-2025 23:00,28.58028,77.233829,NO2,47,163,97
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",14-12-2025 23:00,28.58028,77.233829,NH3,5,5,5
